INIZIO_TRIM;FINE_TRIM;CATEGORIA_OPERAZIONI ;CLASSE_IMPORTO;TEGM;SOGLIA 2
02/04/1997;30/06/1997;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;16,18;24,27
02/04/1997;30/06/1997;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;13,19;19,785
02/04/1997;30/06/1997;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;12,9;19,35
02/04/1997;30/06/1997;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;11,25;16,875
02/04/1997;30/06/1997;FACTORING;fino a 100 milioni di lire;13,88;20,82
02/04/1997;30/06/1997;FACTORING;oltre 100 milioni di lire;11,91;17,865
02/04/1997;30/06/1997;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;16,12;24,18
02/04/1997;30/06/1997;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;28,81;43,215
02/04/1997;30/06/1997;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;25,23;37,845
02/04/1997;30/06/1997;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;19,66;29,49
02/04/1997;30/06/1997;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;16,19;24,285
02/04/1997;30/06/1997;LEASING (fino al 31 dicembre 2009);da 50 milioni di lire;12,75;19,125
02/04/1997;30/06/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;32,49;48,735
02/04/1997;30/06/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;23,9;35,85
02/04/1997;30/06/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;18,18;27,27
02/04/1997;30/06/1997;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;10,6;15,9
01/07/1997;30/09/1997;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;15,9;23,85
01/07/1997;30/09/1997;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;13,12;19,68
01/07/1997;30/09/1997;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;12,42;18,63
01/07/1997;30/09/1997;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;11,2;16,8
01/07/1997;30/09/1997;FACTORING;fino a 100 milioni di lire;12,91;19,365
01/07/1997;30/09/1997;FACTORING;oltre 100 milioni di lire;11,52;17,28
01/07/1997;30/09/1997;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;15,25;22,875
01/07/1997;30/09/1997;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;29,08;43,62
01/07/1997;30/09/1997;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;24,28;36,42
01/07/1997;30/09/1997;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;25,56;38,34
01/07/1997;30/09/1997;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;16,15;24,225
01/07/1997;30/09/1997;LEASING (fino al 31 dicembre 2009);da 50 a 100 milioni di lire;13,87;20,805
01/07/1997;30/09/1997;LEASING (fino al 31 dicembre 2009);oltre 100 milioni di lire;11,52;17,28
01/07/1997;30/09/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;31,55;47,325
01/07/1997;30/09/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;23,7;35,55
01/07/1997;30/09/1997;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;17,17;25,755
01/07/1997;30/09/1997;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;10,28;15,42
01/07/1997;30/09/1997;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 10 milioni di lire;24,39;36,585
01/07/1997;30/09/1997;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;20,66;30,99
01/10/1997;31/12/1997;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;15,05;22,575
01/10/1997;31/12/1997;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;12,34;18,51
01/10/1997;31/12/1997;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;12,2;18,3
01/10/1997;31/12/1997;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;10,46;15,69
01/10/1997;31/12/1997;FACTORING;fino a 100 milioni di lire;12,84;19,26
01/10/1997;31/12/1997;FACTORING;oltre 100 milioni di lire;10,65;15,975
01/10/1997;31/12/1997;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;14,2;21,3
01/10/1997;31/12/1997;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;28,82;43,23
01/10/1997;31/12/1997;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;21,42;32,13
